ablation,entropy,representation,training_steps,avg_reward,std_reward,success_rate,std_success,avg_path_length,avg_connectivity,avg_empty_ratio,seed_rewards,seed_success,seed_paths
baseline,0.05,wide,50000,401.7170870785482,29.18344491198559,0.18,0.039999999999999994,18.233766233766232,0.7134740933701434,0.5969,"[430.9005319905338, 372.53364216656263]","[0.14, 0.22]","[18.285714285714285, 18.181818181818183]"
baseline,0.05,narrow,100000,1132.141172696672,135.48095724215005,0.54,0.010000000000000009,18.148885077186964,0.8704445636448768,0.7133500000000002,"[996.6602154545218, 1267.622129938822]","[0.53, 0.55]","[18.18867924528302, 18.10909090909091]"
baseline,0.05,wide,100000,599.8238075397862,80.58957184922019,0.28500000000000003,0.014999999999999986,18.303703703703704,0.7917402198524892,0.62915,"[680.4133793890064, 519.234235690566]","[0.27, 0.3]","[18.074074074074073, 18.533333333333335]"
baseline,0.05,narrow,200000,1567.9746901513258,62.554127857755816,0.775,0.03500000000000003,18.10810810810811,0.9660943130119055,0.77885,"[1505.42056229357, 1630.5288180090815]","[0.74, 0.81]","[18.216216216216218, 18.0]"
baseline,0.05,wide,200000,886.1649506456631,14.188643416679326,0.475,0.014999999999999986,18.213398402839395,0.8798050126343894,0.6695000000000002,"[900.3535940623425, 871.9763072289838]","[0.46, 0.49]","[18.304347826086957, 18.122448979591837]"
baseline,0.05,narrow,500000,1572.2285463239741,46.90861522871705,0.8200000000000001,0.02999999999999997,18.085927029039464,0.9754145360459568,0.7957500000000001,"[1619.1371615526912, 1525.319931095257]","[0.85, 0.79]","[18.070588235294117, 18.10126582278481]"
baseline,0.05,wide,500000,1041.8191383999554,42.93883838575874,0.39,0.03,18.257936507936506,0.9067040077780121,0.6981499999999998,"[1084.7579767857142, 998.8803000141967]","[0.36, 0.42]","[18.27777777777778, 18.238095238095237]"
baseline,0.05,narrow,1000000,1591.842757575627,13.466805316615364,0.835,0.015000000000000013,18.09540889526542,0.9762563842248156,0.7977500000000002,"[1605.3095628922424, 1578.3759522590117]","[0.85, 0.82]","[18.11764705882353, 18.073170731707318]"
baseline,0.05,wide,1000000,1176.312203424827,21.428129490497668,0.735,0.03500000000000003,18.136363636363637,0.9409761075047973,0.7158999999999999,"[1154.8840739343293, 1197.7403329153246]","[0.7, 0.77]","[18.142857142857142, 18.12987012987013]"
no_connectivity,0.01,narrow,50000,604.8986499999999,5.340849999999989,0.675,0.0050000000000000044,18.1626426690079,0.9310281513889296,0.75255,"[599.5577999999999, 610.2394999999999]","[0.68, 0.67]","[18.205882352941178, 18.119402985074625]"
