ablation,entropy,representation,training_steps,avg_reward,std_reward,success_rate,std_success,avg_path_length,avg_connectivity,avg_empty_ratio,seed_rewards,seed_success,seed_path
no_sequential,0.05,narrow,500000,361.11307783809843,33.66342385220733,0.385,0.08499999999999999,20.93971631205674,0.385,0.6296000000000002,"[327.44965398589113, 394.7765016903058]","[0.3, 0.47]","[21.666666666666668, 20.21276595744681]"
no_sequential,0.05,wide,500000,454.52836110853724,10.279204880498241,0.405,0.035,20.8482800982801,0.405,0.6264,"[444.249156228039, 464.8075659890355]","[0.37, 0.44]","[20.37837837837838, 21.318181818181817]"
no_sequential,0.05,narrow,1000000,418.85349148247485,10.172016315116252,0.46499999999999997,0.035,20.59953488372093,0.46499999999999997,0.6665999999999999,"[429.0255077975911, 408.6814751673586]","[0.5, 0.43]","[20.92, 20.27906976744186]"
no_sequential,0.05,wide,1000000,481.85344920503064,24.811815038573002,0.55,0.1,21.184615384615384,0.55,0.6465,"[506.66526424360364, 457.04163416645764]","[0.65, 0.45]","[21.16923076923077, 21.2]"
no_distance,0.01,narrow,50000,354.6900199999999,11.101960000000076,0.395,0.0050000000000000044,21.676923076923075,0.395,0.6509499999999999,"[365.79197999999997, 343.5880599999998]","[0.4, 0.39]","[21.2, 22.153846153846153]"
no_distance,0.01,wide,50000,227.21834999999993,5.494459999999975,0.065,0.015,20.875,0.065,0.5418000000000001,"[221.72388999999995, 232.7128099999999]","[0.08, 0.05]","[19.75, 22.0]"
no_distance,0.01,narrow,100000,545.8788649999998,33.94128499999991,0.72,0.030000000000000027,20.133333333333333,0.72,0.7457000000000001,"[579.8201499999997, 511.93757999999985]","[0.75, 0.69]","[20.266666666666666, 20.0]"
no_distance,0.01,wide,100000,303.6791149999999,17.42530500000001,0.16999999999999998,0.020000000000000004,21.84561403508772,0.16999999999999998,0.5627,"[286.25380999999993, 321.10441999999995]","[0.15, 0.19]","[22.533333333333335, 21.157894736842106]"
no_distance,0.01,narrow,200000,542.0422799999999,10.111450000000048,0.72,0.020000000000000018,19.663320463320463,0.72,0.7509499999999999,"[531.9308299999998, 552.1537299999999]","[0.7, 0.74]","[19.542857142857144, 19.783783783783782]"
no_distance,0.01,wide,200000,400.59485999999987,3.1979500000001053,0.34,0.0,23.558823529411768,0.34,0.6148,"[397.39690999999976, 403.79281]","[0.34, 0.34]","[22.58823529411765, 24.529411764705884]"
